segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
0	0xd0ac0	0xd0c75	0x1b5	140	116	54	0	0	894b16ef5b806bdc531e1bf1f11f66aa763eb0729077826f0d514647d2a648ca	114:8,168:8,43:7,347:6,66:6,64:5,18:5,354:5	114:8,168:8,43:7,347:6,66:6,64:5,18:5,273:5	+0x4:83,+0x3:28,+0x2:13,+0x5:13,+0x6:3	e801a5001c000002108252183bc9c31d9fe8012087d80a0013bdaf08df916797e801e1f3affb57c5404f320458d6d7569ee8016449ea189bc12cc43628001512	b2470baf3abdbc8a4652ec4701c71c003d01902aee4d07b7602a8aecb65300e1979f0bc02d3d01006f9ea8004701aad1757152215f86ad6f7ffa2a643c3d01c1
1	0xd0c86	0xd0d43	0xbd	204	51	21	0	0	3c43150b5ec8ff9f746707e8576bb525c0834b2d895a28421ba03a722cee3485	114:20,158:20,174:16,307:16,66:12,184:12,18:12,64:12	114:20,158:20,174:16,307:16,184:12,18:12,64:12,123:12	+0x4:132,+0x3:68,+0x6:4	413c2a58e0e80180042a800d067983fde801e8013d015a48679b1ff39da6c9299be801900346cf3ff8f5af14e8015eb5ab9b64d3dfe801eec5178638cb95d6a5	8b83c018bfc81ee801ece023017ecca90736e801c603926f3b783a9a78e8019c099004faa5aee801266fc45865a60f8064e80147ee13e57e4b7e44c7b394e801
2	0xd0d51	0xd0eab	0x15a	364	91	45	0	0	23eda537152a13af367ba0c9486b01ebd33ac1bd3a9b639a4185ee2b0bb81769	18:32,189:20,64:20,347:16,28:16,268:16,196:12,33:12	18:32,189:20,64:20,347:16,28:16,268:16,196:12,33:12	+0x4:228,+0x3:80,+0x5:24,+0x2:20,+0x6:12	b9001bab3a898ddd13aea74cd7e80152bdb7e0ab00e805dce46f20a40e07e801efd38bad1788fe522f781a3598e80160053a83932302cca2b2ebe80139f90c2f	2b36ede1f439ef5836cfb122003d011a322589ef0020943a792af0a8c7c4c6eb230e78f53d01005f98135548583a5f008bcb00268efd19d31c003d011f1423a1
3	0xd0eb3	0xd1002	0x14f	90	90	41	0	0	f0066c3054f75cb68a68039774ba4ae17c67a68726683c37b533e9816be4c489	337:8,18:7,20:5,43:4,347:4,66:4,184:4,297:4	337:8,18:7,20:5,43:4,347:4,66:4,184:4,297:4	+0x4:51,+0x3:23,+0x2:7,+0x5:6,+0x6:3	2b00ac7968000000c4e06855d004e801768978043a102f3d0100f093fd0c7a423e680001852921f6c10091ba943d012eab007e4814aeb3e2d936b9d66f5dd75f	3ffffb0f3be80179fe81c5f57c91295c6baae801a00aa44b052800c2f3e8011ade349a80056ce801784297ff00e0a00b46e8017d7681c565fc009febab96e801
4	0xd1010	0xd1284	0x274	167	167	59	0	0	fa67d21d20ead0f7720e0884bc9d8248a6c19dcb7be490c78023cd09c549e783	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	+0x4:102,+0x3:41,+0x5:11,+0x2:9,+0x6:4	120058063adf9235b73c00de00e796e801e9af3ab152cd2c9880ab00e801e9f9d215b25a6c866c6ccf8cdb35a1e80102557b9d55a01eab5ef6d66d52e801ec8f	3254ae4701d8f5e801c13ef60317a82423fbe80184a334dac005f2fa1ae80173c03940388900e8018ae23c59ab001214449278e801d53db4e0748960e801821e
5	0xd1292	0xd1445	0x1b3	116	116	37	0	0	5106d1eb961d97bcab873679eefc8a9be087ab6024e8eb6dfb48aa6bb7cfbc9b	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	1c00680a1073e99900b7112617e801ca053f2dab00a00a9db822ab0062cae80103a78900f8051acea3349f32f2e801d9002cb2045e7fa4d71dd3c781e8011ebc	f934cef27587bce801900b3ba46f5a26b974e8010cfe2800fa0e84fab3e8016e88196c585caa8a74e801900327ed560a9ee8017ab5b1de8fda9325dbe8015db3
6	0xd3fac	0xd420b	0x25f	161	161	62	0	0	c0b5c1ceec9a24f7a74bfbec087d3f020776a9bda77ee3998c4bc5d9e3d77cce	114:9,64:8,189:8,297:7,28:7,18:6,43:5,258:5	114:9,64:8,189:8,297:7,28:7,18:6,43:5,258:5	+0x4:99,+0x3:40,+0x5:9,+0x2:8,+0x6:5	6201e801290131cee56859a5d9900be2463aaee801a01a320411ab00b80ecc757d94e801700f4a0138101c6dc596fbe80111f8dba62e658b4adc8e25221be801	abb72a37488a21e801f5a2d174366ef1e80141bb8a677bab7e25af535fe801c8038a87e00736623ee8017842ab00c00580626fe801e80568b207c0e5034fe801
7	0xd421c	0xd43cf	0x1b3	116	116	39	0	0	e5b2235f622528d84d2520ccac040dd9f97d7abb4b340e50019a83f02d684f7d	114:8,340:7,28:7,215:6,297:5,287:5,168:5,64:5	114:8,340:7,28:7,215:6,297:5,287:5,168:5,64:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	290131eee01699fefadaab3def32cde801e9b64600ab0024d819959d26e2e80148bc7dd94c0b890008017ee801ce823a5f4c46642f30469e3b0be80116430eef	8c5365e09ce8018f55304e1e00d82301a9d9e8013d0e2f82d7027ae801c26fc4b8100971606ae801bcbd03bafbf4f004a1e801551a56f91148b09bd2e8017cb3
8	0xd43e0	0xd4561	0x181	102	102	44	0	0	f741c60d55931101e0148f61889ce176bd9f5d7dce3f5df20ad525614f683cb9	168:7,337:6,18:6,199:4,33:4,64:4,307:4,333:4	168:7,337:6,18:6,199:4,33:4,64:4,307:4,333:4	+0x4:63,+0x3:23,+0x5:8,+0x2:6,+0x6:2	a800990006d57b7cce447115ce4a99e8017fd9ab005a833ac408ab00e8016670190d5d7a161db4cbea8900a5d0e8010e1cccde2be628006fea221205e8010fc7	46aa7ab5ab1ea92800005cf73d010f4fdf317822675242d738ea4464d49802324c8f003d01c701889e0717783132cf678500ca8aa6fec80e500067a93d0104fc
9	0xd476e	0xd4889	0x11b	77	77	31	0	0	4353c0ef8fa13fc14425c32da8e675432d68678035f5c1a68ccb49f4518d0034	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:1	c700df4c3a66561a2a8639889cd3bfe63e4a093d0100d7f1bf854606dfa7ee3d7f741300a8021a518d003d0116207f1671f86eb302c7300b3a57c05634003d01	b663ef47e7e8015e5110088e566cd7dbae25e801880a461c959cb1e801ceb8370b3ac4f1caf476d8e801d0914d01d3043a0936e801acbc99000805ce8dd5e801
