block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
0	0xd0ac0	0xd0d43	0x283	345	168	63	114:28,158:20,347:18,66:18,64:17,18:17,307:17,174:16	114:28,158:20,347:18,64:17,18:17,307:17,174:16,297:15	+0x4:215,+0x3:96,+0x2:13,+0x5:13,+0x6:7,+0x23e:1	exact:344,prefix_32_of_574:1
1	0xd0d51	0xd1002	0x2b1	458	182	67	18:39,189:23,64:22,347:20,28:18,268:17,337:16,297:16	18:39,189:23,64:22,347:20,28:18,268:17,337:16,297:16	+0x4:279,+0x3:103,+0x5:30,+0x2:27,+0x6:15,-0x24c:4	exact:454,backedge_sample:4
2	0xd1010	0xd1284	0x274	167	167	59	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	+0x4:102,+0x3:41,+0x5:11,+0x2:9,+0x6:4	exact:167
3	0xd1292	0xd1445	0x1b3	116	116	37	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	exact:116
4	0xd3fac	0xd420b	0x25f	161	161	62	114:9,64:8,189:8,297:7,28:7,18:6,43:5,258:5	114:9,64:8,189:8,297:7,28:7,18:6,43:5,258:5	+0x4:99,+0x3:40,+0x5:9,+0x2:8,+0x6:5	exact:161
5	0xd421c	0xd43cf	0x1b3	116	116	39	114:8,340:7,28:7,215:6,297:5,287:5,168:5,64:5	114:8,340:7,28:7,215:6,297:5,287:5,168:5,64:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	exact:116
6	0xd43e0	0xd4581	0x1a1	103	103	45	168:7,337:6,18:6,199:4,33:4,64:4,307:4,333:4	168:7,337:6,18:6,199:4,33:4,64:4,307:4,333:4	+0x4:63,+0x3:23,+0x5:8,+0x2:6,+0x6:2,+0x20d:1	exact:102,prefix_32_of_525:1
7	0xd476e	0xd4889	0x11b	77	77	31	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:1	exact:77
8	0xd4897	0xd4a83	0x1ec	132	132	46	347:8,337:7,18:7,189:7,185:6,307:6,168:5,64:5	347:8,337:7,18:7,189:7,185:6,307:6,168:5,64:5	+0x4:88,+0x3:35,+0x2:4,+0x5:3,+0x6:2	exact:132
9	0xd4a91	0xd4beb	0x15a	91	91	42	66:7,340:6,168:5,28:5,114:5,43:4,305:4,172:4	66:7,340:6,168:5,28:5,114:5,43:4,305:4,172:4	+0x4:59,+0x3:20,+0x5:6,+0x2:4,+0x6:2	exact:91
